'id_izdelka','ime_trgovine','ime_izdelka','firma','okus','redna_cena','teza'
8866978,mercator,'zelenjava','-','paradiznik_beef',1.99,'1_kg'
3092201,mercator,'zelenjava','-','paradiznik_v_grozdu_premium',1.99,'1_kg'
5983688,mercator,'zelenjava','-','slovenski_paradiznik_v_grozdih',1.99,'1_kg'
2258415,mercator,'zelenjava','-','cesnjev_paradiznik',2.49,'0.25_kg'
4889150,mercator,'sladoled','ljubljanske_mlekarne','kakav_in_vanilija_otocec',3.99,'1_l'
3578638,mercator,'sladoled','ljubljanske_mlekarne','vanilija_cokolada_piran',6.29,'2_l'
6478030,mercator,'sladoled','ljubljanske_mlekarne','vanilija_jagoda_piran',6.29,'2_l'
2029510,mercator,'sladoled','ledo','quattro_classic',3.99,'0.9_l'
4724615,mercator,'sladoled','ledo','quattro_banana_split',3.99,'0.9_l'
8935246,mercator,'sladoled','ledo','quattro_chocomania',3.99,'0.9_l'
8138614,mercator,'sladoled','ledo','quattro_jaffa',3.99,'0.9_l'
9732753,mercator,'cips','chio_exxtra','paprika',1.69,'0.125_kg'
5984361,mercator,'cips','chio_exxtra','sol',1.69,'0.125_kg'
2629113,mercator,'cips','chio','paprika',1.99,'0.150_kg'
9467457,mercator,'cips','chio','s_sirom',1.99,'0.150_kg'
6960919,mercator,'cips','chio','kisla_smetana_in_cebula',1.99,'0.150_kg'
3310031,mercator,'cips','chio','slan',1.99,'0.150_kg'
1922997,mercator,'cips','mercator','paprika_rebrasti_hrusty',0.78,'0.150_kg'
1457892,mercator,'cips','mercator','paprika_hrusty',0.75,'0.150_kg'
7770875,mercator,'cips','mercator','slan_hrusty',0.75,'0.150_kg'
6489139,mercator,'cips','mercator','slan_rebrasti_hrusty',0.78,'0.150_kg'
7728933,mercator,'namaz','ferrero','nutella',5.14,'0.7_kg'
7246733,tus,'cokolada','milka','mlecna',1.19,'100_g'
8560769,tus,'cokolada','milka','lomljeni_lesnik',1.19,'100_g'
9685912,tus,'cokolada','milka','oreo',1.19,'100_g'
1923523,tus,'mleko','lejko_mlejko',""'3,5%'"",1.04,'1_l'"
7295578,tus,'moka','mlinostest','psenicna_manitoba_0,1.29,'1_kg'
2289786,tus,'moka','mlinostest','psenicna_manitoba_00,1.29,'1_kg'
3247151,tus,'moka','zito','psenicna_posebna_bela_moka',0.96,'1_kg'
9378514,tus,'kruh','zito','hribovc_s_cebulo',2.19,'0.5_kg'
3453642,tus,'kruh','pekarna_gersak','koreninica_s_semeni',1.09,'120_g'
1366147,tus,'sok','fructal','borovnica_superior',2.49,'1_l'
6070389,tus,'sok','fructal','borovnica',1.29,'1_l'
9398451,tus,'sok','fructal','crni_ribez_superior',1.79,'1_l'
4368870,tus,'sok','fructal','crni_ribez_granatno_jabolko',1.09,'1_l'
8391730,tus,'sok','fructal','hruska_superior',1.59,'1_l'
1423516,tus,'sok','fructal','hruska',1.45,'1.5_l'
2078497,tus,'sok','fructal','marelica_superior',1.69,'1_l'
5919836,tus,'sok','fructal','marelica',1.09,'1_l'
4364653,tus,'sok','fructal','jagoda_superior',2.25,'1_l'
7312689,tus,'sok','fructal','jagoda_jabolko_aronija',1.55,'1.5_l'
8190062,tus,'sok','fructal','ananas_superior',2.19,'1_l'
4649282,tus,'sok','fructal','breskev_superior',1.69,'1_l'
4531437,tus,'sok','fructal','breskev',1.09,'1_l'
8754401,tus,'sok','fructal','breskev',1.45,'1.5_l'
8185608,tus,'sok','sola','ledeni_caj_breskev',0.99,'1.5_l'
6023265,tus,'sok','sola','ledeni_caj_breskev',0.59,'0.5_l'
1044521,tus,'sok','sola','ledeni_caj_breskev',0.59,'0.33_l'
3156375,tus,'sok','mercator','ledeni_caj_breskev',0.52,'1.5_l'
5074361,tus,'sok','sola','ledeni_caj_brusnica',0.99,'1.5_l'
3964553,tus,'sok','fructal','ledeni_caj_breskev',1.09,'1.5_l'
7900589,tus,'sok','fructal','ledeni_caj_breskev',0.60,'0.5_l'
6645374,tus,'sadje','derby','ameriske_borovnice',3.99,'250_g'
3048063,tus,'sadje','-','ananas',1.39,'1_kg'
8917612,tus,'sadje','-','belo_grozdje',3.39,'1_kg'
7484316,tus,'sadje','-','nektarine',1.99,'1_kg'
6721872,tus,'sadje','-','breskve',1.59,'1_kg'
2459497,tus,'sadje','-','lubenica',0.59,'1_kg'
6669854,tus,'zelenjava','-','mlado_zelje',0.89,'1_kg'
6063132,tus,'zelenjava','-','kumare',0.89,'1_kg'
3163247,tus,'zelenjava','kresnik_kiflicar','krompir',1.99,'1_kg'
6308225,tus,'zelenjava','-','zeleni_strocji_fizol',3.39,'1_kg'
8389157,tus,'zelenjava','-','paprika_zelena',1.79,'1_kg'
7124512,tus,'zelenjava','grapolo','paradiznik_v_grozdih',2.19,'0.25_kg'
2222865,tus,'sladoled','carte_dor','cookies_cream_flavour',5.79,'0.9_l'
7812451,tus,'sladoled','carte_dor','stracciatella',5.79,'0.9_l'
2780394,tus,'sladoled','carte_dor','yoghurt_forest:fruit',5.79,'0.9_l'
1159972,tus,'sladoled','leone','kornet_rainbow_unicorn_cones',2.39,'0.540_l'
9866996,tus,'sladoled','leone','kornet_black_cones',2.39,'0.540_l'
3262308,tus,'sladoled','leone','kornet_incom_leone',2.39,'0.540_l'
7604957,tus,'sladoled','leone','paw_patrol',2.29,'0.360_l'
9862264,tus,'sladoled','ledo','highlife_vanilija',4.49,'0.46_l'
5680474,tus,'sladoled','ledo','highlife_cokolada',4.49,'0.46_l'
6317675,tus,'sladoled','tus','bourbon_vanilija',2.99,'2_l'
2607407,tus,'sladoled','tus','cokolada_vanilija_lesnik_stracciatella',3.59,'1.65_l'
2312189,tus,'sladoled','tus','piskotek_cokolada_bela_cokolada_kikiriki',3.59,'1.65_l'
8014854,tus,'cips','chio','paprika',2.99,'0.250_kg'
2402803,tus,'cips','chio','slan',2.99,'0.250_kg'
8235132,hofer,'cokolada','choceur','mlecna_cokolada_s_celimi_mandlji',1.99,'300_g'
1310660,hofer,'cokolada','milka','mlecna',1.09,'100_g'
5354830,hofer,'cokolada','milka','celi_lesniki',1.08,'100_g'
9850341,hofer,'cokolada','milka','mlecna_mmmax',2.89,'300_g'
4086153,hofer,'cokolada','milka','celi_lesniki',2.89,'300_g'
3148988,hofer,'cokolada','milka','nuss_nougat_creme',2.89,'300_g'
2991115,hofer,'cokolada','milka','choco_biscuit',2.89,'300_g'
6492665,hofer,'cokolada','milka','nuss_nougat_creme',2.89,'300_g'
8756778,hofer,'moka','happy_harvest','namenska_moka_za_domace_pecivo,0.47,'1_kg'
5090511,hofer,'moka','happy_harvest','gladka_psenicna_moka,0.47,'1_kg'
3576921,hofer,'kruh','hofer','ajdov_kruh_z_orehi',1.99,'0.4_kg'
4183171,hofer,'kruh','hofer','pirin_polnozrnati_kruh',1.49,'0.4_kg'
6478093,hofer,'kruh','hofer','kraljevi_hlebcek',1.49,'0.5_kg'
2319029,hofer,'kruh','hofer','proteinski_kruh_s_chia_semeni',1.89,'0.4_kg'
6209962,hofer,'kruh','hofer','ovsena_kajzerica',0.29,'0.06_kg'
5385121,hofer,'kruh','hofer','pirina_strucka',0.39,'0.08_kg'
1718238,hofer,'kruh','hofer','ajdov_kruh_z_orehi',1.99,'0.4_kg'
8921371,hofer,'kruh','hofer','temna_struca',0.99,'0.5_kg'
9073449,hofer,'kruh','hofer','koruzna_strucka',0.69,'0.1_kg'
9221661,hofer,'kruh','hofer','veczrnata_strucka',0.49,'0.1_kg'
7294124,hofer,'pivo','staropramen','granat_plocevinka',0.95,'0.5_l'
7998379,hofer,'pivo','staropramen','nefiltrirano_plocevinka',0.95,'0.5_l'
5977539,hofer,'pivo','lasko','svetlo_pivo_plocevinka',0.97,'0.5_l'
1991660,hofer,'pivo','union','svetlo_pivo_plocevinka',0.97,'0.5_l'
4946064,hofer,'pivo','bergkonig','svetlo_nefiltrirano_plocevinka',0.79,'0.5_l'
3352143,hofer,'pivo','bergkonig','svetlo_pivo_plocevinka',0.69,'0.5_l'
1435597,hofer,'pivo','bergkonig','svetlo_pivo_plocevinka',0.69,'0.5_l'
5806378,hofer,'sok','happy_fruits','breskva_nektar',0.69,'1_l'
8159487,hofer,'sok','happy_fruits','pijaca_iz_breskev',0.49,'1_l'
7804563,hofer,'sok','happy_fruits','jegoa_nektar',1.19,'1.5_l'
8751738,hofer,'sok','pure_fruits','pomaranca',0.79,'1_l'
1115237,hofer,'sok','happy_fruits','jabolko_pomaranca_nektar',0.79,'1_l'
2512252,hofer,'sok','sola','ledeni_caj_breskev',0.94,'1.5_l'
6534516,hofer,'energijska_pijaca','red_bull','navadna',1.69,'0.355_l'
6410904,hofer,'energijska_pijaca','red_bull','brez_sladkorja',1.69,'0.355_l'
6444385,hofer,'sadje','derby','banana',1.29,'1_kg'
8362101,hofer,'sadje','-','melona_galia',0.99,'1_kg'
4675067,hofer,'sadje','bio','limona',1.19,'0.3_kg'
7538308,hofer,'sadje','-','breskce_premium',2.99,'1_kg'
9916309,hofer,'sadje','evrosad','jabolka_rdeca_slovenska',1.99,'2_kg'
5746422,hofer,'sadje','-','nektarine',2.99,'1_kg'
1524072,hofer,'sadje','-','marelice',2.89,'1_kg'
4573596,hofer,'zelenjava','-','rdeca_paprika',1.59,'0.5_kg'
7387060,hofer,'zelenjava','-','slovenska_solata_kristalka',0.89,'1_kos'
2875331,hofer,'zelenjava','-','paradiznik',1.69,'1_kg'
8252022,hofer,'zelenjava','-','datljev_paradiznik',1.99,'0.5_kg'
1923578,hofer,'zelenjava','-','cebula_bela',1.69,'1_kg'
5718127,hofer,'zelenjava','-','cesen',1.99,'0.4_kg'
4835162,hofer,'zelenjava','-','bucke',0.99,'1_kg'
3755110,hofer,'zelenjava','-','gobe',1.19,'0.5_kg'
8368660,hofer,'zelenjava','-','krompir',1.99,'2_kg'
2098426,hofer,'sladoled','grandessa','cookie_double_trouble',2.15,'0.5_l'
7769971,hofer,'sladoled','grandessa','cookie_dough',2.15,'0.5_l'
3388438,hofer,'sladoled','grandessa','nut_loves_choco',2.15,'0.5_l'
9216670,hofer,'sladoled','grandessa','caramel_love',2.15,'0.5_l'
7750793,hofer,'sladoled','grandessa','vanilija',2.79,'2_l'
6432344,hofer,'sladoled','grandessa','jagoda',2.79,'2_l'
3279612,hofer,'sladoled','grandessa','cokolada',2.79,'2_l'
2499866,hofer,'sladoled','grandessa','pistacija',2.79,'2_l'
8580960,hofer,'sladoled','grandessa','lesnik',2.79,'2_l'
9746138,hofer,'sladoled','grandessa','piskotek',2.79,'2_l'
8610116,hofer,'cips','snack_fun','paprika_bazilika',1.19,'0.13_kg'
1387824,hofer,'cips','snack_fun','slani_v_tulcu',0.99,'0.175_kg'
7707444,hofer,'cips','snack_fun','paprika_v_tulcu',0.99,'0.175_kg'
5076205,hofer,'cips','snack_fun','kisla_smetana_v_tulcu',0.99,'0.175_kg'
4245449,hofer,'cips','snack_fun','slani_rebrast',0.87,'0.2_kg'
9861422,hofer,'smoki','smoki','party_pack',1.75,'0.225_l'
3225387,hofer,'namaz','ferrero','nutella',4.89,'0.7_kg'
4160428,lidl,'cokolada','fin_carre','mlecna_z_lesniki',0.49,'100_g'
6978423,lidl,'cokolada','fin_carre','bela_cokolada',1.29,'200_g'
8267833,lidl,'cokolada','bellarom','temna_cokolada',0.79,'100_g'
5267126,lidl,'cokolada','fin_carre','cokolada_s_celimi_lesniki',0.75,'100_g'
7060985,lidl,'cokolada','fin_carre','cokolada_s_celimi_lesniki_temna',0.75,'100_g'
4300591,lidl,'cokolada','fin_carre','cokolada_s_celimi_lesniki_bela',0.75,'100_g'
2629094,lidl,'cokolada','milka','noisette',2.99,'300_g'
4389902,lidl,'cokolada','milka','karamela_z_lesniki',2.99,'300_g'
1070243,lidl,'cokolada','milka','oreo',2.99,'300_g'
6490721,lidl,'cokolada','milka','coko_biskvit',2.99,'300_g'
7359217,lidl,'cokolada','milka','celi_lesniki',2.99,'300_g'
2783010,lidl,'cokolada','milka','mlecna_cokolada',1.09,'100_g'
4953708,lidl,'mleko','lejko_mlejko',""'3,5%'"",0.75,'1_l'"
5245029,lidl,'mleko','nase_nam_pase',""'3,5%'"",0.79,'1_l'"
3283680,lidl,'mleko','alpsko_mleko',""'3,5%'"",1.14,'1_l'"
8135415,lidl,'mleko','pilos',""'1,5%'"",0.67,'1_l'"
6101097,lidl,'moka','belbake','tip_400_ostra,0.47,'1_kg'
2170733,lidl,'moka','belbake','tip_500_gladka,0.47,'1_kg'
6929824,lidl,'moka','mlinotest','psenicna_moka_gladka,0.57,'1_kg'
4939471,lidl,'kruh','mlinotest','rustikalna_bela_struca',0.99,'0.4_kg'
7666686,lidl,'kruh','hofer','hribovc_meseani',1.59,'0.5_kg'
1863136,lidl,'pivo','heineken','svetlo_pivo_plocevinka',1.25,'0.5_l'
8285379,lidl,'pivo','lasko','brezalkoholno_0.0_plocevinka',0.99,'0.5_l'
6538994,lidl,'pivo','heineken','brezalkoholno_0.0_plocevinka',0.99,'0.33_l'
5631414,lidl,'pivo','kozel','svetlo_pivo_plocevinka',1.28,'0.5_l'
9732738,lidl,'pivo','staropramen','svetlo_pivo_plocevinka',1.04,'0.5_l'
8100074,lidl,'pivo','staropramen','temno_pivo_plocevinka',1.04,'0.5_l'
3509297,lidl,'pivo','kozel','temno_pivo_plocevinka',1.28,'0.5_l'
9961110,lidl,'pivo','lasko','svetlo_pivo_plocevinka',0.77,'0.5_l'
8670825,lidl,'pivo','union','svetlo_pivo_plocevinka',0.77,'0.5_l'
7380162,lidl,'pivo','deep','svetlo_pivo_plocevinka',0.49,'0.5_l'
6270676,lidl,'pivo','argus','brezalkoholno_plocevinka',0.49,'0.5_l'
2255637,lidl,'sok','solevita','pomaranca',1.49,'2_l'
7665600,lidl,'sok','lidl','jabolko',0.69,'2_l'
5794020,lidl,'sok','lidl','pomaranca',0.79,'2_l'
9647164,lidl,'sok','lidl','jabolko',0.62,'1_l'
7848532,lidl,'sok','lidl','breskev',0.49,'1_l'
6240959,lidl,'sok','solevita','breskev_nektar',0.49,'1_l'
